 | Id   | Map                                                                                                                                     | Difficulty | 
 | 71   | Baauer - Harlem Shake [Yuno's 7K SHD]                                                                                                   | 49.87334   | 
 | 72   | Aoi Eir - INNOCENCE (TV Size) [Lv.17]                                                                                                   | 51.48645   | 
 | 73   | Aoi Eir - INNOCENCE (TV Size) [Lv.26]                                                                                                   | 55.7004    | 
 | 74   | Aoi Eir - INNOCENCE (TV Size) [Lv.8]                                                                                                    | 41.20072   | 
 | 75   | LeaF - MEPHISTO [Advanced]                                                                                                              | 34.16119   | 
 | 76   | LeaF - MEPHISTO [Another]                                                                                                               | 34.82876   | 
 | 78   | LeaF - MEPHISTO [Extra]                                                                                                                 | 35.82866   | 
 | 79   | LeaF - MEPHISTO [Hyper]                                                                                                                 | 32.95813   | 
 | 80   | LeaF - MEPHISTO [Ishi's EZ]                                                                                                             | 27.16259   | 
 | 82   | LeaF - MEPHISTO [Pew's SHD]                                                                                                             | 70.01247   | 
 | 83   | LeaF - MEPHISTO [Roxas' MX]                                                                                                             | 58.33908   | 
 | 84   | LeaF - MEPHISTO [Roxas' NM]                                                                                                             | 45.25368   | 
 | 85   | LeaF - MEPHISTO [Spec's Overdose]                                                                                                       | 29.50621   | 
 | 87   | LeaF - MEPHISTO [TK'S Inner Oni]                                                                                                        | 12.55892   | 
 | 88   | LeaF - MEPHISTO [TK'S Muzukashii]                                                                                                       | 17.3201    | 
 | 89   | LeaF - MEPHISTO [TK'S Oni]                                                                                                              | 14.64581   | 
 | 90   | Dormir - Sayonara Trip [4K LV.5]                                                                                                        | 29.99687   | 
 | 91   | Dormir - Sayonara Trip [7K LV.15]                                                                                                       | 52.35598   | 
 | 92   | Dormir - Sayonara Trip [7K LV.4]                                                                                                        | 23.99496   | 
 | 93   | Dormir - Sayonara Trip [7K LV.7]                                                                                                        | 40.94402   | 
 | 94   | Dormir - Sayonara Trip [victorica's 4K LV.10]                                                                                           | 44.00571   | 
 | 97   | Shouta Kageyama - Relic Song [Futsuu]                                                                                                   | 10.92066   | 
 | 98   | Shouta Kageyama - Relic Song [Hard]                                                                                                     | 31.3755    | 
 | 99   | Shouta Kageyama - Relic Song [Irreversible]                                                                                             | 19.53368   | 
 | 100  | Shouta Kageyama - Relic Song [Kurai's Salad]                                                                                            | 34.85291   | 
 | 101  | Shouta Kageyama - Relic Song [Muzukashii]                                                                                               | 15.73016   | 
 | 102  | Shouta Kageyama - Relic Song [Nemis]                                                                                                    | 25.63252   | 
 | 104  | Shouta Kageyama - Relic Song [Roxas' HD]                                                                                                | 42.43413   | 
 | 105  | Shouta Kageyama - Relic Song [Roxas' NM]                                                                                                | 22.97697   | 
 | 106  | Shouta Kageyama - Relic Song [Sey's Platter]                                                                                            | 21.43233   | 
 | 107  | yoshiki*lisa - Destin Histoire (TV Size) [Easy]                                                                                         | 25.91965   | 
 | 108  | yoshiki*lisa - Destin Histoire (TV Size) [Hard]                                                                                         | 44.78897   | 
 | 109  | yoshiki*lisa - Destin Histoire (TV Size) [Normal]                                                                                       | 34.46186   | 
 | 110  | fripSide - eternal reality - TV size - [4K MX]                                                                                          | 45.04997   | 
 | 111  | fripSide - eternal reality - TV size - [4K NM]                                                                                          | 33.21558   | 
 | 112  | fripSide - eternal reality - TV size - [7K EZ]                                                                                          | 23.9761    | 
 | 113  | fripSide - eternal reality - TV size - [7K HD]                                                                                          | 51.75677   | 
 | 114  | fripSide - eternal reality - TV size - [7K MX]                                                                                          | 55.42339   | 
 | 115  | fripSide - eternal reality - TV size - [7K NM]                                                                                          | 43.90271   | 
 | 116  | fripSide - eternal reality - TV size - [justhow's 4K HD]                                                                                | 41.58123   | 
 | 117  | fripSide - eternal reality - TV size - [Rumi's 7K Lv.28]                                                                                | 58.86903   | 
 | 118  | fripSide - eternal reality - TV size - [Woodyzak's 4K EZ]                                                                               | 14.20657   | 
 | 119  | TJ.Hangneil - Kamui [Hard]                                                                                                              | 41.0635    | 
 | 120  | TJ.Hangneil - Kamui [Insane]                                                                                                            | 53.02668   | 
 | 121  | TJ.Hangneil - Kamui [victorica' NM]                                                                                                     | 28.68015   | 
 | 122  | HTT - U&I (TV Size) [Amateur Drum]                                                                                                      | 49.59112   | 
 | 123  | HTT - U&I (TV Size) [Basic Drum]                                                                                                        | 39.4231    | 
