 | Id   | Map                                                                                                                                     | Difficulty | 
 | 360  | S.S.H. - Intersect Thunderbolt-Remix [7K Normal]                                                                                        | 42.57946   | 
 | 361  | S.S.H. - Intersect Thunderbolt-Remix [Momo's 4K Insane]                                                                                 | 49.72404   | 
 | 362  | S.S.H. - Intersect Thunderbolt-Remix [victorica's 4K Normal]                                                                            | 38.47024   | 
 | 363  | Mimori Suzuko - Univer Page (TV Size) [4K HD]                                                                                           | 45.66238   | 
 | 364  | Mimori Suzuko - Univer Page (TV Size) [4K NM]                                                                                           | 31.24484   | 
 | 365  | Mimori Suzuko - Univer Page (TV Size) [richard's 7K MX]                                                                                 | 53.92237   | 
 | 366  | Mimori Suzuko - Univer Page (TV Size) [Rumi's 7K HD]                                                                                    | 50.43764   | 
 | 367  | Loos - Koi Yomi Zakura [4K Lv.4]                                                                                                        | 31.908     | 
 | 368  | Loos - Koi Yomi Zakura [7K Lv.19]                                                                                                       | 52.45558   | 
 | 369  | Loos - Koi Yomi Zakura [7K Lv.36]                                                                                                       | 58.81662   | 
 | 370  | Loos - Koi Yomi Zakura [PROGUY's 4K Lv.1]                                                                                               | 7.435611   | 
 | 371  | Loos - Koi Yomi Zakura [S.Star's 4K Lv.8]                                                                                               | 34.35218   | 
 | 372  | Loos - Koi Yomi Zakura [victorica's 4K Lv.15]                                                                                           | 44.76191   | 
 | 373  | Suzuki Konomi - DAYS of DASH (TV Size) [MX]                                                                                             | 55.28724   | 
 | 374  | Suzuki Konomi - DAYS of DASH (TV Size) [NM]                                                                                             | 43.3608    | 
 | 375  | Suzuki Konomi - DAYS of DASH (TV Size) [Rumi's HD]                                                                                      | 53.77417   | 
 | 376  | Suzuki Konomi - DAYS of DASH (TV Size) [Shi-Ra x Rumi SHD]                                                                              | 59.86365   | 
 | 377  | Harada Hitomi, Kayano Ai & Ogura Yui - Maware! Setsugekka (TV Size) [7K Another]                                                        | 58.50508   | 
 | 378  | Harada Hitomi, Kayano Ai & Ogura Yui - Maware! Setsugekka (TV Size) [7K Beginner]                                                       | 33.95474   | 
 | 379  | Harada Hitomi, Kayano Ai & Ogura Yui - Maware! Setsugekka (TV Size) [7K Hyper]                                                          | 52.4504    | 
 | 380  | Harada Hitomi, Kayano Ai & Ogura Yui - Maware! Setsugekka (TV Size) [7K Normal]                                                         | 46.66169   | 
 | 381  | Harada Hitomi, Kayano Ai & Ogura Yui - Maware! Setsugekka (TV Size) [AEM's 4K Insane]                                                   | 48.41725   | 
 | 382  | Harada Hitomi, Kayano Ai & Ogura Yui - Maware! Setsugekka (TV Size) [AEM's 4K Normal]                                                   | 39.23466   | 
 | 383  | Harada Hitomi, Kayano Ai & Ogura Yui - Maware! Setsugekka (TV Size) [PROGUY's 4K Easy]                                                  | 9.984005   | 
 | 386  | Electric Six - Gay Bar [Futsuu]                                                                                                         | 14.9715    | 
 | 387  | Electric Six - Gay Bar [Kantan]                                                                                                         | 10.48935   | 
 | 388  | Electric Six - Gay Bar [Muzukashii]                                                                                                     | 17.1113    | 
 | 389  | Electric Six - Gay Bar [Oni]                                                                                                            | 17.0076    | 
 | 390  | Electric Six - Gay Bar [Platter]                                                                                                        | 25.31704   | 
 | 391  | Electric Six - Gay Bar [Rainbow]                                                                                                        | 28.21159   | 
 | 393  | senya - Though the Scent Lingers, the Flower Scattered [Easy]                                                                           | 24.51284   | 
 | 394  | senya - Though the Scent Lingers, the Flower Scattered [Hard]                                                                           | 45.97674   | 
 | 395  | senya - Though the Scent Lingers, the Flower Scattered [Insane]                                                                         | 48.87592   | 
 | 396  | senya - Though the Scent Lingers, the Flower Scattered [KK's Extra]                                                                     | 54.96451   | 
 | 397  | senya - Though the Scent Lingers, the Flower Scattered [Lunatic]                                                                        | 53.4811    | 
 | 398  | senya - Though the Scent Lingers, the Flower Scattered [Normal]                                                                         | 41.08332   | 
 | 399  | Chata - Candy a Mine [sugarfull x1.1]                                                                                                   | 59.71075   | 
 | 400  | Chata - Candy a Mine [sugarfull x1.2]                                                                                                   | 60.16165   | 
 | 401  | Chata - Candy a Mine [sugarfull x1.3]                                                                                                   | 58.89582   | 
 | 402  | Chata - Candy a Mine [sugarfull x1.4]                                                                                                   | 57.76854   | 
 | 403  | Chata - Candy a Mine [sugarfull]                                                                                                        | 58.49835   | 
 | 404  | Hige Driver with Hitomi Takahashi - God Bless You [4k fun]                                                                              | 41.35284   | 
 | 405  | Hige Driver with Hitomi Takahashi - God Bless You [test]                                                                                | 47.5254    | 
 | 406  | Terminal11 - Reluctantly Accepting Temporary Overexhaustion [Hard]                                                                      | 49.81966   | 
 | 407  | Ryu* - I'm so Happy [4K Lv.15]                                                                                                          | 46.96871   | 
 | 408  | Ryu* - I'm so Happy [7K Lv.14]                                                                                                          | 54.20436   | 
 | 409  | Ryu* - I'm so Happy [7K Lv.27]                                                                                                          | 58.66859   | 
 | 410  | Ryu* - I'm so Happy [7K Lv.5]                                                                                                           | 34.06282   | 
 | 411  | Ryu* - I'm so Happy [7K Lv.8]                                                                                                           | 43.36643   | 
 | 414  | Ryu* - I'm so Happy [S.Star's 4K Lv.12]                                                                                                 | 45.0994    | 
 | 415  | Ryu* - I'm so Happy [Shiki's 4K Lv.22]                                                                                                  | 53.08236   | 
 | 416  | Ryu* - I'm so Happy [Spy's 4K Lv.7]                                                                                                     | 38.06956   | 
 | 417  | fripSide - sister's noise (TV Size) [Lv.16]                                                                                             | 51.78341   | 
 | 418  | fripSide - sister's noise (TV Size) [Lv.23]                                                                                             | 55.76001   | 
 | 419  | fripSide - sister's noise (TV Size) [Lv.42]                                                                                             | 69.19234   | 
 | 420  | fripSide - sister's noise (TV Size) [Rumi's Lv.30]                                                                                      | 60.82735   | 
 | 421  | fripSide - sister's noise (TV Size) [S.Star's Lv.7]                                                                                     | 36.30749   | 
 | 422  | Jeff Williams - This Will Be the Day (feat. Casey Lee Williams) [4K Dante's Insane]                                                     | 46.20486   | 
 | 423  | Jeff Williams - This Will Be the Day (feat. Casey Lee Williams) [4K Easy]                                                               | 12.74766   | 
 | 424  | Jeff Williams - This Will Be the Day (feat. Casey Lee Williams) [4K Insane]                                                             | 46.37511   | 
 | 425  | Jeff Williams - This Will Be the Day (feat. Casey Lee Williams) [4K Normal]                                                             | 37.18489   | 
 | 426  | Jeff Williams - This Will Be the Day (feat. Casey Lee Williams) [7K Hard]                                                               | 51.18124   | 
 | 427  | Jeff Williams - This Will Be the Day (feat. Casey Lee Williams) [7K Insane]                                                             | 55.86742   | 
 | 428  | DJ SHARPNEL - SHIND BAD [Hard]                                                                                                          | 53.36483   | 
 | 429  | DJ SHARPNEL - SHIND BAD [Insane (Jump streams)]                                                                                         | 53.87195   | 
 | 430  | Grand Thaw - Aventyr [Hard]                                                                                                             | 46.07991   | 
 | 434  | Masayoshi Minoshima - Bad Apple!! (REDALiCE Remix) [KK's 4K Lv.4]                                                                       | 23.1279    | 
 | 435  | Masayoshi Minoshima - Bad Apple!! (REDALiCE Remix) [KK's 7K Lv.4]                                                                       | 29.74365   | 
 | 436  | Masayoshi Minoshima - Bad Apple!! (REDALiCE Remix) [Lv.14 4K]                                                                           | 43.25238   | 
 | 437  | Masayoshi Minoshima - Bad Apple!! (REDALiCE Remix) [Lv.14 7K]                                                                           | 52.07656   | 
 | 438  | Masayoshi Minoshima - Bad Apple!! (REDALiCE Remix) [Lv.18 4K]                                                                           | 44.52549   | 
 | 439  | Masayoshi Minoshima - Bad Apple!! (REDALiCE Remix) [Lv.18 7K]                                                                           | 53.93593   | 
 | 440  | Masayoshi Minoshima - Bad Apple!! (REDALiCE Remix) [Lv.23 4K]                                                                           | 49.54524   | 
 | 441  | Masayoshi Minoshima - Bad Apple!! (REDALiCE Remix) [Lv.23 7K]                                                                           | 57.42817   | 
 | 442  | Masayoshi Minoshima - Bad Apple!! (REDALiCE Remix) [Lv.27 4K]                                                                           | 51.42388   | 
 | 443  | Masayoshi Minoshima - Bad Apple!! (REDALiCE Remix) [Lv.34 7K]                                                                           | 60.81764   | 
 | 444  | Masayoshi Minoshima - Bad Apple!! (REDALiCE Remix) [Lv.8 4K]                                                                            | 37.86215   | 
 | 445  | Masayoshi Minoshima - Bad Apple!! (REDALiCE Remix) [Lv.8 7K]                                                                            | 46.19958   | 
 | 446  | Masayoshi Minoshima - Bad Apple!! (REDALiCE Remix) [neonat's Hard]                                                                      | 27.73618   | 
 | 447  | Masayoshi Minoshima - Bad Apple!! (REDALiCE Remix) [neonat's Insane]                                                                    | 32.19221   | 
 | 449  | Masayoshi Minoshima - Bad Apple!! (REDALiCE Remix) [Sold's Futsuu]                                                                      | 15.18173   | 
 | 450  | Masayoshi Minoshima - Bad Apple!! (REDALiCE Remix) [Sold's Kantan]                                                                      | 10.52136   | 
 | 451  | Avicii ft. Salem Al Fakir - You Make Me [NaxelCL's 7K HD]                                                                               | 47.65948   | 
 | 452  | Avicii ft. Salem Al Fakir - You Make Me [RC's 7K MX]                                                                                    | 49.10226   | 
 | 453  | Avicii ft. Salem Al Fakir - You Make Me [S.Star's 4K EZ]                                                                                | 23.16673   | 
 | 455  | NIKO - Maid of Fire [Anti-Jack]                                                                                                         | 47.6159    | 
 | 456  | NIKO - Maid of Fire [Jackhammer Madness]                                                                                                | 49.79449   | 
 | 457  | NIKO - Maid of Fire [lefthand]                                                                                                          | 49.58563   | 
 | 458  | Lapix - Paradoxy [4K ADVANCED]                                                                                                          | 43.23131   | 
 | 459  | Lapix - Paradoxy [4K BASIC]                                                                                                             | 29.89439   | 
 | 466  | Lapix - Paradoxy [7K BASIC]                                                                                                             | 38.67313   | 
 | 467  | Lapix - Paradoxy [7K Rage!!]                                                                                                            | 59.63826   | 
 | 468  | Suzuki Konomi - AVENGE WORLD (TV size) [DUMP]                                                                                           | 51.77191   | 
 | 469  | Suzuki Konomi - AVENGE WORLD (TV size) [EZ]                                                                                             | 32.50716   | 
 | 470  | Suzuki Konomi - AVENGE WORLD (TV size) [HD]                                                                                             | 54.18813   | 
 | 471  | Suzuki Konomi - AVENGE WORLD (TV size) [MX]                                                                                             | 56.94425   | 
 | 472  | Suzuki Konomi - AVENGE WORLD (TV size) [NM]                                                                                             | 43.97976   | 
 | 474  | Hanatan - Airman ga Taosenai (SOUND HOLIC Ver.) [CRN's Extra]                                                                           | 32.61529   | 
 | 476  | Hanatan - Airman ga Taosenai (SOUND HOLIC Ver.) [Hard]                                                                                  | 33.62389   | 
 | 477  | Hanatan - Airman ga Taosenai (SOUND HOLIC Ver.) [Insane]                                                                                | 31.51266   | 
 | 478  | Hanatan - Airman ga Taosenai (SOUND HOLIC Ver.) [KK's Hard]                                                                             | 52.70358   | 
 | 479  | Hanatan - Airman ga Taosenai (SOUND HOLIC Ver.) [m1ng's Taiko Muzukashii]                                                               | 18.5923    | 
 | 482  | Hanatan - Airman ga Taosenai (SOUND HOLIC Ver.) [Rumi's Insane]                                                                         | 56.22713   | 
 | 483  | Hanatan - Airman ga Taosenai (SOUND HOLIC Ver.) [Rumi's Normal]                                                                         | 46.73556   | 
 | 484  | Hanatan - Airman ga Taosenai (SOUND HOLIC Ver.) [Skystar's Extra]                                                                       | 37.68908   | 
 | 485  | Hanatan - Airman ga Taosenai (SOUND HOLIC Ver.) [Yue's Rain]                                                                            | 30.49833   | 
 | 486  | Hanatan - Airman ga Taosenai (SOUND HOLIC Ver.) [Zero's Overdose]                                                                       | 31.59782   | 
 | 487  | IOSYS - Captain Murasa's Ass Anchor [Ankaa]                                                                                             | 30.61794   | 
 | 488  | IOSYS - Captain Murasa's Ass Anchor [Hard]                                                                                              | 27.88014   | 
 | 491  | Seiryu - Water Horizon [3i's 7K BASIC]                                                                                                  | 42.84608   | 
 | 492  | Seiryu - Water Horizon [4K BASIC]                                                                                                       | 37.85488   | 
 | 493  | Seiryu - Water Horizon [4K EXTREME]                                                                                                     | 48.48909   | 
 | 494  | Seiryu - Water Horizon [KK's 7K EXTREME]                                                                                                | 57.4157    | 
 | 495  | Seiryu - Water Horizon [richard's 7K ADVANCED]                                                                                          | 52.3694    | 
 | 496  | Seiryu - Water Horizon [S.Star's 4K ADVANCED]                                                                                           | 43.30424   | 
 | 497  | Seiryu - Water Horizon [victorica's 4K ExtrA]                                                                                           | 52.94384   | 
 | 498  | REDALiCE Feat. Ayumi Nomiya - Little Star [4K ADV [Star.7]]                                                                             | 38.42749   | 
 | 499  | REDALiCE Feat. Ayumi Nomiya - Little Star [4K BS [Star.2]]                                                                              | 26.37144   | 
 | 500  | REDALiCE Feat. Ayumi Nomiya - Little Star [4K EXH [Star.15]]                                                                            | 47.40055   | 
 | 501  | REDALiCE Feat. Ayumi Nomiya - Little Star [4K INF [Star.20]]                                                                            | 47.41858   | 
 | 502  | REDALiCE Feat. Ayumi Nomiya - Little Star [4K NOV [Star.4]]                                                                             | 35.31931   | 
 | 509  | Yuki Kajiura - Himeboshi [EZ]                                                                                                           | 27.66148   | 
 | 510  | Yuki Kajiura - Himeboshi [NM]                                                                                                           | 38.18298   | 
 | 511  | RAMM - Wonder Nanda? Kataomoi [Easy]                                                                                                    | 39.3784    | 
 | 512  | RAMM - Wonder Nanda? Kataomoi [Hard]                                                                                                    | 48.72295   | 
 | 513  | RAMM - Wonder Nanda? Kataomoi [Maximum]                                                                                                 | 51.67094   | 
 | 514  | RAMM - Wonder Nanda? Kataomoi [Normal]                                                                                                  | 41.21568   | 
 | 515  | FX - Anime Openings Madness [Burst The Gravity [4K HD]]                                                                                 | 43.48587   | 
 | 516  | FX - Anime Openings Madness [Burst The Gravity [4K MX]]                                                                                 | 48.3168    | 
 | 517  | FX - Anime Openings Madness [Burst The Gravity [4K NM]]                                                                                 | 35.62621   | 
 | 518  | FX - Anime Openings Madness [Connect [4K HD]]                                                                                           | 42.80547   | 
 | 519  | FX - Anime Openings Madness [Connect [4K MX]]                                                                                           | 53.44572   | 
 | 520  | FX - Anime Openings Madness [Connect [4K NM]]                                                                                           | 28.70054   | 
 | 521  | FX - Anime Openings Madness [Connect [lZenxl's 4K SC]]                                                                                  | 51.33907   | 
 | 522  | FX - Anime Openings Madness [Crossing Field [4K HD]]                                                                                    | 45.1487    | 
 | 523  | FX - Anime Openings Madness [Crossing Field [4K MX]]                                                                                    | 49.56237   | 
 | 524  | FX - Anime Openings Madness [Crossing Field [4K NM]]                                                                                    | 33.48937   | 
 | 525  | FX - Anime Openings Madness [Date A Live [4K HD]]                                                                                       | 39.43878   | 
 | 526  | FX - Anime Openings Madness [Date A Live [4K MX]]                                                                                       | 47.27981   | 
 | 527  | FX - Anime Openings Madness [Date A Live [4K NM]]                                                                                       | 27.27719   | 
 | 528  | FX - Anime Openings Madness [Hacking to the Gate [4K HD]]                                                                               | 41.48254   | 
 | 529  | FX - Anime Openings Madness [Hacking to the Gate [4K MX]]                                                                               | 47.30376   | 
 | 530  | FX - Anime Openings Madness [Hacking to the Gate [4K NM]]                                                                               | 30.18602   | 
 | 531  | FX - Anime Openings Madness [Irony [4K HD]]                                                                                             | 36.60603   | 
 | 532  | FX - Anime Openings Madness [Irony [4K MX]]                                                                                             | 48.18086   | 
 | 533  | FX - Anime Openings Madness [Irony [4K NM]]                                                                                             | 25.22038   | 
 | 534  | FX - Anime Openings Madness [Kawaru Mirai [4K HD]]                                                                                      | 41.34556   | 
 | 535  | FX - Anime Openings Madness [Kawaru Mirai [4K MX]]                                                                                      | 48.04524   | 
 | 536  | FX - Anime Openings Madness [Kawaru Mirai [4K NM]]                                                                                      | 28.23094   | 
 | 537  | FX - Anime Openings Madness [Kawaru Mirai [4K SC]]                                                                                      | 52.15212   | 
 | 538  | FX - Anime Openings Madness [Loop-the-loop [4K MX]]                                                                                     | 49.64438   | 
 | 539  | FX - Anime Openings Madness [Loop-the-loop [victorica's 4K HD+]]                                                                        | 43.18251   | 
 | 540  | FX - Anime Openings Madness [Loop-the-loop [victorica's 4K NM]]                                                                         | 29.14737   | 
 | 541  | FX - Anime Openings Madness [My Dearest [4K HD]]                                                                                        | 39.2012    | 
 | 542  | FX - Anime Openings Madness [My Dearest [4K MX]]                                                                                        | 47.50872   | 
 | 543  | FX - Anime Openings Madness [My Dearest [4K NM]]                                                                                        | 29.62671   | 
 | 544  | FX - Anime Openings Madness [My Dearest [4K SC]]                                                                                        | 48.60733   | 
 | 545  | FX - Anime Openings Madness [My Soul, Your Beats! [4K HD]]                                                                              | 40.20061   | 
 | 546  | FX - Anime Openings Madness [My Soul, Your Beats! [4K MX]]                                                                              | 47.75853   | 
 | 548  | FX - Anime Openings Madness [No pain, No game [4K HD]]                                                                                  | 41.81532   | 
 | 549  | FX - Anime Openings Madness [No pain, No game [4K MX]]                                                                                  | 49.23152   | 
 | 550  | FX - Anime Openings Madness [No pain, No game [4K NM]]                                                                                  | 31.82771   | 
 | 551  | FX - Anime Openings Madness [Take Your Way [4K HD]]                                                                                     | 42.24183   | 
 | 552  | FX - Anime Openings Madness [Take Your Way [4K MX]]                                                                                     | 47.00059   | 
 | 553  | FX - Anime Openings Madness [Take Your Way [4K NM]]                                                                                     | 33.15326   | 
 | 554  | FX - Anime Openings Madness [Take Your Way [lZenxl's 4K SC]]                                                                            | 50.03653   | 
 | 555  | Children's Tears - Light of Magic White [4K Insane]                                                                                     | 53.11639   | 
 | 557  | Tristam & Braken [Monstercat] - Flight [Hard]                                                                                           | 27.31815   | 
 | 558  | Tristam & Braken [Monstercat] - Flight [Standard Insane]                                                                                | 30.96303   | 
 | 559  | ETIA. feat.Jenga - Say A Vengeance [bbu2's Another]                                                                                     | 48.99459   | 
 | 560  | ETIA. feat.Jenga - Say A Vengeance [Beginner]                                                                                           | 26.52318   | 
 | 561  | ETIA. feat.Jenga - Say A Vengeance [Black Another]                                                                                      | 50.49608   | 
 | 562  | ETIA. feat.Jenga - Say A Vengeance [Chicken's Hyper]                                                                                    | 45.73067   | 
 | 563  | ETIA. feat.Jenga - Say A Vengeance [Normal]                                                                                             | 38.33385   | 
 | 564  | M2U - Memory of Beach [Easy Style]                                                                                                      | 20.63488   | 
 | 565  | M2U - Memory of Beach [Normal Style]                                                                                                    | 35.93253   | 
 | 566  | M2U - Memory of Beach [S.Star's Hard Style]                                                                                             | 41.54862   | 
 | 567  | Lia - My Soul, Your Beats! (TV Size) [4K HD]                                                                                            | 28.18465   | 
 | 568  | Lia - My Soul, Your Beats! (TV Size) [4K MX]                                                                                            | 37.49318   | 
 | 569  | Lia - My Soul, Your Beats! (TV Size) [4K NM]                                                                                            | 16.87187   | 
 | 570  | Lia - My Soul, Your Beats! (TV Size) [4K SC]                                                                                            | 44.89384   | 
 | 579  | Lia - My Soul, Your Beats! (TV Size) [7K HD]                                                                                            | 35.43019   | 
 | 580  | Lia - My Soul, Your Beats! (TV Size) [7K MX]                                                                                            | 47.7135    | 
 | 581  | Lia - My Soul, Your Beats! (TV Size) [7K NM]                                                                                            | 23.2555    | 
 | 582  | Lia - My Soul, Your Beats! (TV Size) [7K SC]                                                                                            | 52.58202   | 
 | 590  | ESTi - HELIX [HoB's 4K MX]                                                                                                              | 51.41008   | 
 | 591  | ESTi - HELIX [Mashiro's 4K HD]                                                                                                          | 44.38245   | 
 | 592  | ESTi - HELIX [S.Star's 4K NM]                                                                                                           | 29.45163   | 
 | 595  | Tomatsu Haruka - Yume Sekai (TV Size) [7K HD]                                                                                           | 44.86322   | 
 | 596  | Tomatsu Haruka - Yume Sekai (TV Size) [7K NM]                                                                                           | 41.63986   | 
 | 597  | USAO - Miracle 5ympho X [4K Another]                                                                                                    | 44.75973   | 
 | 598  | USAO - Miracle 5ympho X [4K Normal]                                                                                                     | 32.90256   | 
 | 599  | USAO - Miracle 5ympho X [7K Another]                                                                                                    | 57.94495   | 
 | 600  | USAO - Miracle 5ympho X [7K Normal]                                                                                                     | 41.63215   | 
 | 602  | USAO - Miracle 5ympho X [Black Another]                                                                                                 | 15.78529   | 
 | 603  | USAO - Miracle 5ympho X [Frey's Another]                                                                                                | 34.48783   | 
 | 604  | USAO - Miracle 5ympho X [Fullerene's 4K Black Another]                                                                                  | 48.12341   | 
 | 608  | USAO - Miracle 5ympho X [Hyper]                                                                                                         | 13.13812   | 
 | 610  | USAO - Miracle 5ympho X [Kotori's Extreme]                                                                                              | 5.104814   | 
 | 611  | USAO - Miracle 5ympho X [Kurokami's Rain]                                                                                               | 30.96589   | 
 | 612  | USAO - Miracle 5ympho X [Mirabelle]                                                                                                     | 21.58282   | 
 | 614  | Iguchi Yuka - Grow Slowly (TV Size) [4K EZ]                                                                                             | 17.18097   | 
 | 615  | Iguchi Yuka - Grow Slowly (TV Size) [4K NM]                                                                                             | 30.50008   | 
 | 616  | Iguchi Yuka - Grow Slowly (TV Size) [7K HD]                                                                                             | 44.45541   | 
 | 617  | Iguchi Yuka - Grow Slowly (TV Size) [7K NM]                                                                                             | 42.5364    | 
 | 618  | Iguchi Yuka - Grow Slowly (TV Size) [7K SC]                                                                                             | 51.17007   | 
 | 619  | Iguchi Yuka - Grow Slowly (TV Size) [Bobbias' 7K MX]                                                                                    | 52.08795   | 
 | 620  | Iguchi Yuka - Grow Slowly (TV Size) [victorica's 4K MX]                                                                                 | 45.02381   | 
 | 621  | Memme - China Dress [7K Beginner]                                                                                                       | 16.93538   | 
 | 622  | Memme - China Dress [7K Easy]                                                                                                           | 34.93639   | 
 | 623  | Memme - China Dress [7K Expert]                                                                                                         | 57.76236   | 
 | 624  | Memme - China Dress [7K Hard]                                                                                                           | 53.21339   | 
 | 625  | Memme - China Dress [7K Insane]                                                                                                         | 55.81137   | 
 | 626  | Memme - China Dress [7K Normal]                                                                                                         | 42.38811   | 
 | 627  | Memme - China Dress [cheesiest's Expert]                                                                                                | 36.97913   | 
 | 630  | Memme - China Dress [Shiro's Muzukashii]                                                                                                | 12.92333   | 
 | 631  | Memme - China Dress [Yoeri's Insane]                                                                                                    | 34.16881   | 
 | 633  | Memme - China Dress [Zexous' Harder]                                                                                                    | 21.32981   | 
 | 634  | Memme - China Dress [Zexous' Oni]                                                                                                       | 15.85375   | 
 | 636  | Sayuri Yahagi - Skirt no Hajikko [Hard]                                                                                                 | 30.25355   | 
 | 637  | Sayuri Yahagi - Skirt no Hajikko [Normal]                                                                                               | 23.83946   | 
 | 638  | 3L - Be Happy* [Hard]                                                                                                                   | 48.1415    | 
 | 639  | 3L - Be Happy* [Normal]                                                                                                                 | 33.7213    | 
 | 642  | Sharlo - Vidro Moyou [Collab]                                                                                                           | 37.43578   | 
 | 643  | Sharlo - Vidro Moyou [Hard]                                                                                                             | 36.09641   | 
 | 644  | Sharlo - Vidro Moyou [PC's 7K HD]                                                                                                       | 52.50782   | 
 | 645  | Sharlo - Vidro Moyou [Rumi's 7K NM]                                                                                                     | 40.01723   | 
 | 646  | Sharlo - Vidro Moyou [ursa's Rain]                                                                                                      | 25.37127   | 
 | 647  | Sharlo - Vidro Moyou [victorica's 4K HD]                                                                                                | 43.65613   | 
 | 648  | Sharlo - Vidro Moyou [victorica's 4K NM]                                                                                                | 23.31709   | 
 | 649  | Demetori - Hoshi no Utsuwa ~ Casket of Star [Lunatic]                                                                                   | 35.0788    | 
 | 651  | Demetori - Hoshi no Utsuwa ~ Casket of Star [sjoy's Hard]                                                                               | 30.7292    | 
 | 652  | Demetori - Hoshi no Utsuwa ~ Casket of Star [sjoy's Insane]                                                                             | 33.34782   | 
 | 654  | Camellia - Bangin' Burst [EXHAUST Lv.16]                                                                                                | 52.18933   | 
 | 655  | Camellia - Bangin' Burst [KK's ADVANCED Lv.14]                                                                                          | 47.78025   | 
 | 656  | Camellia - Bangin' Burst [S.Star's NOVICE Lv.9]                                                                                         | 40.11305   | 
 | 657  | Camellia - Bangin' Burst [trill practice]                                                                                               | 17.5599    | 
 | 658  | Camellia - Bangin' Burst [victorica's Extra Lv.15]                                                                                      | 50.46629   | 
 | 659  | Sergey Eybog - Everlasting Summer [Easy]                                                                                                | 25.70172   | 
 | 660  | Sergey Eybog - Everlasting Summer [Hard]                                                                                                | 40.65741   | 
 | 661  | Sergey Eybog - Everlasting Summer [Normal]                                                                                              | 35.26439   | 
 | 662  | T.M.Revolution - HOT LIMIT [Another]                                                                                                    | 55.33343   | 
 | 663  | T.M.Revolution - HOT LIMIT [Hyper]                                                                                                      | 51.6483    | 
 | 664  | T.M.Revolution - HOT LIMIT [Normal]                                                                                                     | 31.39655   | 
 | 665  | livetune - Light Song [Lv.6]                                                                                                            | 31.6276    | 
 | 666  | livetune - Light Song [Lv.9]                                                                                                            | 39.41603   | 
 | 667  | fripSide - HesitationSnow [7K Insane]                                                                                                   | 57.40049   | 
 | 668  | fripSide - HesitationSnow [7K Rumi's HD]                                                                                                | 51.87131   | 
 | 669  | fripSide - HesitationSnow [7K S.Star's Normal]                                                                                          | 35.23832   | 
 | 671  | P*Light feat. mow*2 - OVERDRIVERS [4K ADV]                                                                                              | 42.05566   | 
 | 672  | P*Light feat. mow*2 - OVERDRIVERS [4K EXH]                                                                                              | 44.11258   | 
 | 673  | P*Light feat. mow*2 - OVERDRIVERS [4K LeiN-'s INF]                                                                                      | 48.30917   | 
 | 674  | P*Light feat. mow*2 - OVERDRIVERS [4K NOV]                                                                                              | 39.4334    | 
 | 675  | ONE OK ROCK - Re:make [Amateur Drum]                                                                                                    | 48.78236   | 
 | 676  | ONE OK ROCK - Re:make [Basic Drum]                                                                                                      | 37.74274   | 
 | 677  | ONE OK ROCK - Re:make [Pro Drum]                                                                                                        | 53.16285   | 
 | 678  | Ayane - Complex Image [Lv.15]                                                                                                           | 50.15365   | 
 | 679  | Ayane - Complex Image [Lv.24]                                                                                                           | 54.49377   | 
 | 680  | Ayane - Complex Image [richard's Lv.23]                                                                                                 | 53.77697   | 
 | 681  | Ayane - Complex Image [victorica's Lv.7]                                                                                                | 33.67986   | 
 | 683  | yanaginagi - Mitsuba no Musubime (TV Size) [Hard]                                                                                       | 23.19077   | 
 | 684  | yanaginagi - Mitsuba no Musubime (TV Size) [KK's HD]                                                                                    | 44.72213   | 
 | 685  | yanaginagi - Mitsuba no Musubime (TV Size) [KK's NM]                                                                                    | 29.7928    | 
 | 687  | Chihara Minori - Kyoukai no Kanata (TV Size) [Easy]                                                                                     | 24.75806   | 
 | 688  | Chihara Minori - Kyoukai no Kanata (TV Size) [Hard]                                                                                     | 38.83144   | 
 | 689  | Chihara Minori - Kyoukai no Kanata (TV Size) [Normal]                                                                                   | 30.77205   | 
 | 691  | Owl City - Shooting Star [7K HD]                                                                                                        | 50.12524   | 
 | 692  | Owl City - Shooting Star [Hinagi's 7K SC]                                                                                               | 49.69971   | 
 | 694  | Owl City - Shooting Star [RC's 7K MX]                                                                                                   | 50.51066   | 
 | 695  | Owl City - Shooting Star [S.Star's 4K EZ]                                                                                               | 25.25808   | 
 | 696  | Owl City - Shooting Star [Skalim's 4K HD]                                                                                               | 41.20928   | 
 | 697  | Various Artists - Let It Go [4K EZ]                                                                                                     | 23.53284   | 
 | 698  | Various Artists - Let It Go [4K HD]                                                                                                     | 40.28765   | 
 | 699  | Various Artists - Let It Go [4K NM]                                                                                                     | 32.92984   | 
 | 700  | Various Artists - Let It Go [7K EZ]                                                                                                     | 31.69851   | 
 | 701  | Nomizu Iori - SAVE MY HEART (TV Size) [4K HD]                                                                                           | 45.46727   | 
 | 702  | Nomizu Iori - SAVE MY HEART (TV Size) [4K NM]                                                                                           | 26.19033   | 
 | 703  | Nomizu Iori - SAVE MY HEART (TV Size) [7K MX]                                                                                           | 54.18494   | 
